Номер проектный,living room,room 1,room 2,bath,dressing room,stairs,bath 2,dressing room 2,Этаж,Тип планировки
348,"21,1",,,"4,4",,,,,3,Ст-1/л
349,"21,0",,,"4,4",,,,,3,Ст-1/п
350,"21,1",,,"4,4",,,,,3,Ст-1/л
351,"21,1",,,"4,4",,,,,3,Ст-1/п
352,"21,1",,,"4,4",,,,,3,Ст-1/л
353,"21,0",,,"4,4",,,,,3,Ст-1/п
354,"21,1",,,"4,4",,,,,3,Ст-1/л
355,"21,1",,,"4,4",,,,,3,Ст-1/п
356,"20,5",,,"4,3",,,,,3,Ст-1/л
357,"20,6",,,"4,4",,,,,3,Ст-1/п
358,"18,8",,,"4,5","2,1",,,,3,Кф-3/п
359,"17,8",,,"4,9",,,,,3,Км/л
360,"19,2",,,"4,5","2,1",,,,3,Кф-3/л
361,"10,1","22,7",,"4,3",,,,,3,1К-4/п
362,"20,1",,,"5,9",,,,,3,Ст-МГН-2
363,"21,3",,,"4,4",,,,,3,Ст-1/п
514,"15,0","16,3",,"4,6",,,,,5,1К-2/л/в
365,"21,1",,,"4,4",,,,,3,Ст-1/п
366,"21,0",,,"4,5",,,,,3,Ст-1/л
367,"21,1",,,"4,4",,,,,3,Ст-1/п
432,"18,3","20,7",,"3,6",,,,,4,1К-3/в
369,"14,6","17,8",,"5,0",,,,,3,1К-1/л
370,"25,6",,,"4,9",,,,,3,Ст-2
632,"18,3","20,8",,"3,6",,,,,6,1К-3/в
372,"22,8",,,"4,0",,,,,3,Ст-4
373,"19,3",,,"4,7",,,,,3,Ст-5
374,"20,6",,,"4,2",,,,,3,Ст-6
301,"22,1","11,1","12,8","5,1","3,1",,,,3,2К-1
302,"20,9","9,3",,"4,9",,,,,3,1К-Е-1/п
303,"20,1","9,2",,"4,9",,,,,3,1К-Е-1/л
304,"19,7",,,"3,9",,,,,3,Ст-1/п
305,"22,2",,,"4,9",,,,,3,Ст-1/л
306,"22,3",,,"4,9",,,,,3,Ст-1/п
307,"20,3",,,"4,2",,,,,3,Ст-1/л
308,"20,5",,,"4,2",,,,,3,Ст-1/п
561,"10,1","22,7",,"4,0",,,,,5,1К-4/п/в
310,"22,8","9,7",,"4,6",,,,,3,1К-Е-2
311,"21,0",,,"4,6","2,0",,,,3,Кф-1
523,"23,3","10,3",,"4,1",,,,,5,1К-Е-1/л/в
